StationName,Latitude,Longitude,StartYear,EndYear,NormalValue.Element,NormalValue.ValueOnJanuary,NormalValue.ValueOnFebruary,NormalValue.ValueOnMarch,NormalValue.ValueOnApril,NormalValue.ValueOnMay,NormalValue.ValueOnJune,NormalValue.ValueOnJuly,NormalValue.ValueOnAugust,NormalValue.ValueOnSeptember,NormalValue.ValueOnOctober,NormalValue.ValueOnNovember,NormalValue.ValueOnDecember
SAKON NAKHON AGROMET.,17.125,104.061,1981,2010,Mean Station Pressure,992.606,990.266,988.143,986.86,985.26,984.08,983.67,983.86,985.62,988.49,990.98,991.66
SAKON NAKHON AGROMET.,17.125,104.061,1981,2010,Mean MSL Pressure,1014.924,1012.321,1009.944,1008.503,1006.91,1005.67,1005.29,1005.53,1007.33,1010.34,1013.08,1013.91
SAKON NAKHON AGROMET.,17.125,104.061,1981,2010,Mean Maximum Temperature,29.761,32.201,34.269,35.455,33.77,33.55,32.33,31.78,32.02,31.42,30.6,29.85
SAKON NAKHON AGROMET.,17.125,104.061,1981,2010,Mean Minimum Temperature,14.567,17.76,21.01,23.504,24.07,24.93,24.72,24.31,23.78,22.03,17.97,15.56
SAKON NAKHON AGROMET.,17.125,104.061,1981,2010,Mean Dry-bulb Temperature,21.165,23.94,26.704,28.453,27.94,28.33,27.81,27.16,27.11,26.01,23.46,21.78
SAKON NAKHON AGROMET.,17.125,104.061,1981,2010,Mean Relative Humidity,71.49,68.71,69.097,71.164,78.44,80.93,82.18,85.21,84.14,81.59,75.31,74.23
SAKON NAKHON AGROMET.,17.125,104.061,1981,2010,Total Rainfall,4.749,30.5,62.19,95.441,215.44,243.1,264.09,328.79,216.88,86.29,14.55,5.41
NAKHON PHANOM,17.411,104.783,1981,2010,Mean Station Pressure,1001.184,1001.02,999.048,999.387,998.02,999.23,1000.04,1000.14,997.44,1000.44,1000.35,1000.44
NAKHON PHANOM,17.411,104.783,1981,2010,Mean MSL Pressure,1014.934,1012.713,1010.413,1008.571,1007.25,1005.82,1005.63,1005.68,1008.03,1011.07,1013.7,1015.76
NAKHON PHANOM,17.411,104.783,1981,2010,Mean Maximum Temperature,29.43,31.296,33.72,35.08,33.66,32.2,31.55,31.25,31.82,31.72,30.6,28.81
NAKHON PHANOM,17.411,104.783,1981,2010,Mean Minimum Temperature,16.323,18.958,21.829,24.261,24.69,24.74,24.55,24.31,23.9,22.37,19.4,16.22
NAKHON PHANOM,17.411,104.783,1981,2010,Mean Dry-bulb Temperature,22.226,24.386,27.046,29.005,28.39,27.77,27.33,27.03,27.12,26.42,24.45,21.96
NAKHON PHANOM,17.411,104.783,1981,2010,Mean Relative Humidity,67.479,67.17,65.942,68.882,77.68,84.3,86.22,87.9,83.84,76.29,69.83,67.94
NAKHON PHANOM,17.411,104.783,1981,2010,Total Rainfall,3.005,30.991,60.093,101.07,257.07,409.52,502.98,580.28,290.15,96.97,9.74,4.77
NAKHON PHANOM AGROMET.,17.443,104.774,1981,2010,Mean Station Pressure,997.579,995.199,993.101,991.729,990.2,988.95,988.58,988.68,990.4,993.21,995.77,996.52
NAKHON PHANOM AGROMET.,17.443,104.774,1981,2010,Mean MSL Pressure,1015.474,1012.887,1010.59,1009.083,1007.56,1006.28,1005.93,1006.06,1007.81,1010.73,1013.5,1014.36
NAKHON PHANOM AGROMET.,17.443,104.774,1981,2010,Mean Maximum Temperature,29.103,31.58,33.87,35.144,33.29,32.84,31.56,31.1,31.62,30.91,30.04,29.17
NAKHON PHANOM AGROMET.,17.443,104.774,1981,2010,Mean Minimum Temperature,14.592,17.905,21.228,23.427,23.95,24.77,24.57,24.38,23.82,21.8,17.68,15.21
NAKHON PHANOM AGROMET.,17.443,104.774,1981,2010,Mean Dry-bulb Temperature,21.165,23.895,26.587,28.449,27.77,28.01,27.45,27.1,27.13,25.93,23.37,21.66
NAKHON PHANOM AGROMET.,17.443,104.774,1981,2010,Mean Relative Humidity,68.151,66.629,66.98,68.932,77.6,82.86,85.41,86.47,83.89,80.98,73.28,72.15
NAKHON PHANOM AGROMET.,17.443,104.774,1981,2010,Total Rainfall,2.746,27.26,49.897,90.869,210.77,333.98,408.9,498,239.51,74.99,10.7,4.57
SUKHOTHAI*,17.106,99.8,1981,2010,Mean Station Pressure,1006.14,1004.331,1001.941,999.433,995.91,993.3,994.57,995.41,999.35,1003.54,1005.76,1006.6
SUKHOTHAI*,17.106,99.8,1981,2010,Mean MSL Pressure,1011.974,1010.15,1008.43,1006.833,1005.42,1004.76,1004.78,1004.85,1006.72,1009.42,1011.54,1012.42
SUKHOTHAI*,17.106,99.8,1981,2010,Mean Maximum Temperature,31.554,33.411,35.598,37.92,34.94,33.83,33.2,32.92,32.7,32.75,31.87,31
SUKHOTHAI*,17.106,99.8,1981,2010,Mean Minimum Temperature,18.243,19.975,22.271,24.728,24.67,24.94,24.79,24.52,24.33,24.02,21.34,18.8
SUKHOTHAI*,17.106,99.8,1981,2010,Mean Dry-bulb Temperature,24.366,26.177,28.444,30.783,29.32,28.85,28.46,28.2,28.07,28.1,26.36,24.51
SUKHOTHAI*,17.106,99.8,1981,2010,Mean Relative Humidity,75.756,74.873,70.295,67.203,77.19,79.64,79.78,81.13,83.85,82.2,77.15,75.85
SUKHOTHAI*,17.106,99.8,1981,2010,Total Rainfall,11.729,6.9,16.557,68.257,158.34,211.29,147.54,175.4,293.26,192.76,5.99,9.49
SI SAMRONG AGROMET.,17.161,99.862,1981,2010,Mean Station Pressure,1006.272,1004.092,1002.405,1001.229,1000.14,999.11,998.99,999,1000.57,1003,1005.3,1005.64
SI SAMRONG AGROMET.,17.161,99.862,1981,2010,Mean MSL Pressure,1012.517,1010.302,1008.534,1007.321,1006.26,1005.22,1005.11,1005.14,1006.72,1009.17,1011.51,1011.88
SI SAMRONG AGROMET.,17.161,99.862,1981,2010,Mean Maximum Temperature,31.47,33.305,35.903,37.325,34.35,33.59,32.79,32.78,32.79,32.28,31.89,30.86
SI SAMRONG AGROMET.,17.161,99.862,1981,2010,Mean Minimum Temperature,18.223,20.885,22.501,24.52,24.95,24.85,25.11,24.78,24.54,24.32,21.37,19.41
SI SAMRONG AGROMET.,17.161,99.862,1981,2010,Mean Dry-bulb Temperature,24.639,26.239,29.324,30.931,29.62,29.97,28.9,28.55,28.71,28.25,26.89,25.29
SI SAMRONG AGROMET.,17.161,99.862,1981,2010,Mean Relative Humidity,72.675,76.876,66.053,66.239,76.2,75.77,78.77,80.65,81.32,80.87,72.31,72.24
SI SAMRONG AGROMET.,17.161,99.862,1981,2010,Total Rainfall,5.101,7.698,17.507,50.024,183.88,143.81,127.58,186.16,225.03,146.57,27.35,11.4
TAK,16.878,99.143,1981,2010,Mean Station Pressure,1001.748,1001.361,999.815,1000.616,997.28,997.21,999.12,998.74,998.25,1002.03,1001.53,1001.41
TAK,16.878,99.143,1981,2010,Mean MSL Pressure,1013.378,1011.263,1009.294,1007.785,1006.74,1005.98,1006.1,1006.26,1008.11,1010.8,1013.08,1014.68
TAK,16.878,99.143,1981,2010,Mean Maximum Temperature,32.416,35.333,37.612,38.528,35.23,32.96,32.45,32.31,32.56,31.71,31.06,30.48
TAK,16.878,99.143,1981,2010,Mean Minimum Temperature,17.044,19.819,23.886,26.179,25.64,25.3,25.06,24.83,24.18,22.99,20.46,16.98
TAK,16.878,99.143,1981,2010,Mean Dry-bulb Temperature,24.097,27.26,30.23,31.472,29.62,28.41,28.11,27.88,27.67,26.76,25.2,23.02
TAK,16.878,99.143,1981,2010,Mean Relative Humidity,65.353,54.138,49.506,54.297,68.56,73.7,73.08,74.4,78.25,81.89,77.6,71.91
TAK,16.878,99.143,1981,2010,Total Rainfall,2.092,8.701,12.055,57.573,174.86,127.76,87.71,115.79,215.47,199.2,54.6,5.12
MAE SOT,16.659,98.551,1981,2010,Mean Station Pressure,1000.149,1000.456,1000.347,1001.333,1000.25,1000.1,1000.15,1000.19,1000.66,1000.71,999.52,998.82
MAE SOT,16.659,98.551,1981,2010,Mean MSL Pressure,1012.224,1010.665,1008.945,1007.491,1006.22,1005.64,1005.92,1006.1,1007.42,1009.28,1011.33,1012.99
MAE SOT,16.659,98.551,1981,2010,Mean Maximum Temperature,31.633,33.963,35.843,36.849,34.09,31.4,30.48,30.27,31.54,32.16,31.45,30.44
MAE SOT,16.659,98.551,1981,2010,Mean Minimum Temperature,15.255,16.746,19.792,23.052,23.94,23.61,23.21,23.12,23.21,22.32,19.22,15.48
MAE SOT,16.659,98.551,1981,2010,Mean Dry-bulb Temperature,22.444,24.511,27.186,29.083,27.87,26.34,25.78,25.61,26.19,26.14,24.44,22.04
MAE SOT,16.659,98.551,1981,2010,Mean Relative Humidity,71.769,64.221,60.542,63.664,76.44,84.34,85.74,86.77,84.79,82.11,76.88,74.32
MAE SOT,16.659,98.551,1981,2010,Total Rainfall,1.663,8.224,15.481,44.804,174.21,255.45,328.96,321.72,185.41,102.14,23.72,5.87
BHUMIBOL DAM,17.244,99.003,1981,2010,Mean Station Pressure,1000.732,1000.388,998.34,1000.372,998.67,999.28,1000,1000.14,997.39,1000.31,999.69,999.44
BHUMIBOL DAM,17.244,99.003,1981,2010,Mean MSL Pressure,1012.859,1010.784,1008.672,1007.066,1006.05,1005.18,1005.28,1005.5,1007.48,1010.38,1012.7,1014.16
BHUMIBOL DAM,17.244,99.003,1981,2010,Mean Maximum Temperature,31.906,34.914,37.21,38.153,35.25,33.37,33.02,32.98,33,32.08,31.21,30.22
BHUMIBOL DAM,17.244,99.003,1981,2010,Mean Minimum Temperature,17.52,19.912,23.022,25.164,24.96,24.78,24.63,24.4,23.73,22.61,20.22,17.19
BHUMIBOL DAM,17.244,99.003,1981,2010,Mean Dry-bulb Temperature,23.739,26.74,29.663,30.927,29.24,28.47,28.23,28.06,27.49,26.41,24.78,22.71
BHUMIBOL DAM,17.244,99.003,1981,2010,Mean Relative Humidity,68.904,57.344,53.661,58.927,71.99,74.04,73,74.48,79.87,83.12,79.3,75.19
BHUMIBOL DAM,17.244,99.003,1981,2010,Total Rainfall,2.625,6.894,21.054,66.147,197.6,106.49,66.71,112.02,207.6,204.34,44.75,7.22
DOI MU SOE AGROMET.,16.75,98.933,1981,2010,Mean Station Pressure,917.189,921.263,915.116,914.633,913.05,912.19,911.75,911.91,913.14,914.95,916.52,916.53
DOI MU SOE AGROMET.,16.75,98.933,1981,2010,Mean MSL Pressure,1013.605,1017.436,1009.621,1008.73,1007.43,1006.63,1006.57,1006.73,1007.89,1010.09,1012.46,1012.92
DOI MU SOE AGROMET.,16.75,98.933,1981,2010,Mean Maximum Temperature,26.035,29.499,31.128,32.219,28.21,27.3,25.25,25.38,26.49,25.82,25.05,24.6
DOI MU SOE AGROMET.,16.75,98.933,1981,2010,Mean Minimum Temperature,12.381,15.189,16.823,19.389,20.15,20.22,19.65,19.46,19.55,18.37,15.04,12.6
DOI MU SOE AGROMET.,16.75,98.933,1981,2010,Mean Dry-bulb Temperature,19.306,21.284,24.344,25.637,24.03,23.54,22.29,22.34,22.93,22.3,20.48,19.18
DOI MU SOE AGROMET.,16.75,98.933,1981,2010,Mean Relative Humidity,74.196,70.381,59.914,65.245,80.82,86,89.95,89.85,87.84,87.36,80.77,77.77
DOI MU SOE AGROMET.,16.75,98.933,1981,2010,Total Rainfall,2.934,7.017,25.884,47.017,209.29,175.57,227.64,243.29,231.42,184.64,31.92,2.57
UMPHANG,16.025,98.864,1981,2010,Mean Station Pressure,985.188,984.628,983.995,984.741,982.67,982.49,982.55,982.57,983.18,984.09,984.84,985.18
UMPHANG,16.025,98.864,1981,2010,Mean MSL Pressure,1013.062,1011.99,1009.948,1008.459,1007.09,1006.66,1006.72,1007.07,1008.21,1010.28,1012.26,1013.76
UMPHANG,16.025,98.864,1981,2010,Mean Maximum Temperature,30.501,32.839,34.531,34.826,32.04,29.67,28.88,28.55,29.63,29.99,29.48,28.84
UMPHANG,16.025,98.864,1981,2010,Mean Minimum Temperature,12.28,12.706,15.849,19.437,21.31,21.77,21.43,21.46,21.15,19.98,16.72,12.94
UMPHANG,16.025,98.864,1981,2010,Mean Dry-bulb Temperature,20.221,21.633,24.449,26.088,25.61,25.01,24.46,24.27,24.43,23.93,21.96,19.79
UMPHANG,16.025,98.864,1981,2010,Mean Relative Humidity,74.754,68.327,66.286,71.466,80.92,84.98,86.69,87.7,86.95,84.72,80.92,78.4
UMPHANG,16.025,98.864,1981,2010,Total Rainfall,6.78,9.114,47.887,101.29,195.01,187.49,231.64,248.42,247.56,155.82,25.19,5.14
PHITSANULOK,16.795,100.279,1981,2010,Mean Station Pressure,1007.649,1005.767,1004.293,1002.587,1001.17,1001.89,1001.89,1001.85,1003.1,1005.1,1007.04,1008.57
PHITSANULOK,16.795,100.279,1981,2010,Mean MSL Pressure,1012.935,1011.012,1009.21,1007.661,1006.44,1005.59,1005.69,1005.88,1007.69,1010.23,1012.41,1014.01
PHITSANULOK,16.795,100.279,1981,2010,Mean Maximum Temperature,31.638,33.795,35.754,37.225,35.56,33.97,33.19,32.54,32.51,32.38,31.75,30.7
PHITSANULOK,16.795,100.279,1981,2010,Mean Minimum Temperature,18.713,21.033,23.614,25.371,25.23,25.04,24.76,24.69,24.68,24.08,21.73,18.64
PHITSANULOK,16.795,100.279,1981,2010,Mean Dry-bulb Temperature,24.761,26.945,29.158,30.794,29.88,28.99,28.52,28.14,28.13,27.82,26.46,24.32
PHITSANULOK,16.795,100.279,1981,2010,Mean Relative Humidity,66.73,64.085,62.289,62.56,70.96,75.77,77.54,79.88,80.62,78.4,72.29,67.36
PHITSANULOK,16.795,100.279,1981,2010,Total Rainfall,3.891,13.481,26.66,55.674,170.91,165.74,179.38,247.62,246.6,162.47,33.45,11.05
PHETCHABUN,16.433,101.15,1981,2010,Mean Station Pressure,1001.917,1000.595,999.371,1000.505,997.3,997.24,999.18,998.99,997.59,1000.79,1000.75,1000.7
PHETCHABUN,16.433,101.15,1981,2010,Mean MSL Pressure,1012.084,1010.109,1008.315,1006.841,1005.65,1004.66,1004.75,1004.88,1006.72,1009.27,1011.45,1013.11
PHETCHABUN,16.433,101.15,1981,2010,Mean Maximum Temperature,32.316,34.735,36.575,37.269,35.01,33.49,32.67,32.11,32.27,32.24,31.89,31.05
PHETCHABUN,16.433,101.15,1981,2010,Mean Minimum Temperature,17.567,19.918,22.534,24.609,24.81,24.65,24.34,24.2,24.03,23.09,20.36,17.31
PHETCHABUN,16.433,101.15,1981,2010,Mean Dry-bulb Temperature,24.146,26.475,28.651,29.81,28.82,28.24,27.7,27.33,27.14,26.81,25.44,23.47
PHETCHABUN,16.433,101.15,1981,2010,Mean Relative Humidity,66.29,63.438,62.859,67.092,76.83,80.4,82.25,84.57,84.81,80.24,72.54,67.79
PHETCHABUN,16.433,101.15,1981,2010,Total Rainfall,5.631,16.06,47.877,76.007,162.77,161.69,148.76,198.98,205.68,90.36,11.58,7.77
Khao Kho Agromet,,,1981,2010,Total Rainfall,,,,,,,,,,,,
LOM SAK,16.774,101.249,1981,2010,Mean Station Pressure,998.801,997.191,994.441,996.635,994.09,995.14,996.47,996.62,992.05,996.42,996.7,997.94
LOM SAK,16.774,101.249,1981,2010,Mean MSL Pressure,1013.027,1011.493,1009.474,1007.935,1006.66,1005.74,1005.61,1005.98,1007.72,1010.65,1012.76,1014.13
LOM SAK,16.774,101.249,1981,2010,Mean Maximum Temperature,32.047,34.078,35.735,36.604,34.85,33.42,32.47,31.89,32.26,32.34,31.86,30.87
LOM SAK,16.774,101.249,1981,2010,Mean Minimum Temperature,17.383,19.29,21.66,23.83,24.39,24.48,24.15,24.08,23.82,22.78,20.04,17.14
LOM SAK,16.774,101.249,1981,2010,Mean Dry-bulb Temperature,24.309,25.943,27.979,29.217,28.57,28.21,27.63,27.28,27.11,26.84,25.38,23.8
LOM SAK,16.774,101.249,1981,2010,Mean Relative Humidity,63.325,61.26,63.11,67.366,76.23,78.94,80.49,82.71,83.44,77.97,69.5,64.85
LOM SAK,16.774,101.249,1981,2010,Total Rainfall,4.805,17.087,43.79,63.197,150.83,136.22,128.6,198.1,193.61,88.46,13.93,4.54
WICHIAN BURI,15.657,101.108,1981,2010,Mean Station Pressure,1004.287,1003.685,1001.82,1001.575,999.19,999.09,1000.62,999.74,1000.14,1001.99,1004.49,1005.56
WICHIAN BURI,15.657,101.108,1981,2010,Mean MSL Pressure,1012.584,1011.288,1009.471,1007.976,1006.82,1006.1,1006.01,1006.29,1007.72,1010.22,1012.21,1013.53
WICHIAN BURI,15.657,101.108,1981,2010,Mean Maximum Temperature,32.501,34.801,36.57,37.166,35.29,34.29,33.49,32.87,32.5,32.46,32.19,31.42
WICHIAN BURI,15.657,101.108,1981,2010,Mean Minimum Temperature,18.116,20.885,23.199,24.936,25.07,24.93,24.63,24.47,24.38,23.66,20.95,17.95
WICHIAN BURI,15.657,101.108,1981,2010,Mean Dry-bulb Temperature,25.328,27.534,29.503,30.406,29.42,29.09,28.6,28.14,27.91,27.66,26.27,24.79
WICHIAN BURI,15.657,101.108,1981,2010,Mean Relative Humidity,64.193,60.474,61.561,65.545,74.48,76.13,77.44,80.09,82.01,78,70.49,64.86
WICHIAN BURI,15.657,101.108,1981,2010,Total Rainfall,7.672,12.584,50.642,89.947,158.12,144.28,145.93,209.25,246.06,131.64,20.35,4.33
KAMPHAENG PHET,16.487,99.527,1981,2010,Mean Station Pressure,1004.388,1002.958,1002.815,1003.037,1001.19,1000.85,1001.79,1000.66,1002.06,1002.35,1003.73,1004.91
KAMPHAENG PHET,16.487,99.527,1981,2010,Mean MSL Pressure,1013.124,1011.316,1009.489,1007.931,1006.8,1005.96,1006.1,1006.28,1008.07,1010.66,1012.83,1014.26
KAMPHAENG PHET,16.487,99.527,1981,2010,Mean Maximum Temperature,32.126,34.393,35.968,37.307,35.21,33.57,33,32.63,32.68,32.21,31.6,30.78
KAMPHAENG PHET,16.487,99.527,1981,2010,Mean Minimum Temperature,18.499,20.315,22.684,24.851,25.17,25.1,24.85,24.73,24.41,23.77,21.52,18.54
KAMPHAENG PHET,16.487,99.527,1981,2010,Mean Dry-bulb Temperature,24.75,26.759,28.726,30.409,29.17,28.39,28.05,27.78,27.64,27.19,25.89,24.06
KAMPHAENG PHET,16.487,99.527,1981,2010,Mean Relative Humidity,70.601,66.189,65.654,66.301,76.93,81.82,82.15,83.65,84.81,84.18,78.73,73.9
KAMPHAENG PHET,16.487,99.527,1981,2010,Total Rainfall,2.324,13.123,36.683,52.78,195.52,165.08,159.43,170.46,268.77,191.65,41.99,6.65
KHON KAEN,16.461,102.79,1981,2010,Mean Station Pressure,999.499,999.961,999.637,1000.933,1000.67,1000.32,1000.25,1000.28,1000.77,1000.09,998.1,997.04
KHON KAEN,16.461,102.79,1981,2010,Mean MSL Pressure,1013.982,1011.739,1009.659,1008.02,1006.82,1005.52,1005.49,1005.61,1007.83,1010.72,1013.1,1014.91
KHON KAEN,16.461,102.79,1981,2010,Mean Maximum Temperature,30.837,33.104,35.266,36.41,34.53,33.64,32.97,32.35,31.95,31.62,31.19,30.06
KHON KAEN,16.461,102.79,1981,2010,Mean Minimum Temperature,17.402,20.057,22.792,24.856,24.86,25.01,24.63,24.39,23.92,22.76,20.09,17.22
KHON KAEN,16.461,102.79,1981,2010,Mean Dry-bulb Temperature,23.427,25.952,28.46,29.918,28.87,28.63,28.11,27.66,27.19,26.53,25.03,22.97
KHON KAEN,16.461,102.79,1981,2010,Mean Relative Humidity,65.034,62.971,60.789,64.468,74.43,76.53,77.9,80.81,82.99,78.2,70.39,65.21
KHON KAEN,16.461,102.79,1981,2010,Total Rainfall,3.965,21.411,42.085,89.587,168.7,161.61,173.29,216.4,231.98,117.72,15.91,4.08
THA PHRA AGROMET.,16.333,102.817,1981,2010,Mean Station Pressure,995.027,992.706,990.72,989.514,988.05,987,986.75,986.93,988.54,991.21,993.58,994.19
THA PHRA AGROMET.,16.333,102.817,1981,2010,Mean MSL Pressure,1014.314,1011.77,1009.576,1008.275,1006.84,1005.75,1005.54,1005.76,1007.41,1010.17,1012.73,1013.43
THA PHRA AGROMET.,16.333,102.817,1981,2010,Mean Maximum Temperature,30.988,33.318,35.356,35.969,34.07,33.91,32.75,31.93,32.1,31.92,31.21,30.77
THA PHRA AGROMET.,16.333,102.817,1981,2010,Mean Minimum Temperature,16.421,19.46,22.401,24.373,24.33,25.04,24.57,24.15,23.83,22.94,19.47,17.15
THA PHRA AGROMET.,16.333,102.817,1981,2010,Mean Dry-bulb Temperature,22.861,25.616,28.247,29.371,28.46,28.89,28.09,27.49,27.27,26.81,24.61,23.22
THA PHRA AGROMET.,16.333,102.817,1981,2010,Mean Relative Humidity,70.972,68.456,66.908,70.856,78.66,78.65,80.92,84.93,86.63,83.66,74.76,72.94
THA PHRA AGROMET.,16.333,102.817,1981,2010,Total Rainfall,2.971,26.461,43.817,92.727,164.49,151.63,145.41,194.05,240.24,109.8,15.38,5.79
MUKDAHAN,16.541,104.729,1981,2010,Mean Station Pressure,1000.658,1000.609,998.716,999.239,997.92,999.04,1000,1000.13,997.32,1000.25,999.76,1000.43
MUKDAHAN,16.541,104.729,1981,2010,Mean MSL Pressure,1013.942,1011.891,1009.623,1007.779,1006.5,1005.16,1005.12,1005.16,1007.35,1010.36,1013.01,1014.84
MUKDAHAN,16.541,104.729,1981,2010,Mean Maximum Temperature,30.41,32.742,35.09,36.142,34.48,32.91,32.35,31.76,32.05,31.68,30.65,29.25
MUKDAHAN,16.541,104.729,1981,2010,Mean Minimum Temperature,16.426,19.132,22.298,24.637,24.86,24.97,24.69,24.44,24.06,22.48,19.69,16.65
MUKDAHAN,16.541,104.729,1981,2010,Mean Dry-bulb Temperature,22.621,24.914,27.717,29.587,28.78,28.29,27.79,27.29,27.24,26.31,24.36,22.22
MUKDAHAN,16.541,104.729,1981,2010,Mean Relative Humidity,67.193,64.917,61.973,64.87,74.67,79.38,81.31,84.19,82.3,76.53,70.94,68.96
MUKDAHAN,16.541,104.729,1981,2010,Total Rainfall,3.725,17.418,38.757,76.38,199.47,233.36,231.92,350.74,211.69,100.64,13.33,2.61
PICHIT AGROMET.,16.438,100.293,1981,2010,Mean Station Pressure,1008.455,1006.349,1004.556,1003.345,1001.98,1001.33,1001.28,1001.36,1002.72,1005.05,1007.26,1007.82
PICHIT AGROMET.,16.438,100.293,1981,2010,Mean MSL Pressure,1012.862,1010.708,1008.879,1007.641,1006.29,1005.63,1005.59,1005.68,1007.05,1009.39,1011.63,1012.23
PICHIT AGROMET.,16.438,100.293,1981,2010,Mean Maximum Temperature,31.026,33.056,35.062,36.357,34.31,34.05,33.08,32.55,32.37,32.06,31.83,30.85
PICHIT AGROMET.,16.438,100.293,1981,2010,Mean Minimum Temperature,18.504,21.63,23.777,25.339,25.23,25.05,24.8,24.7,24.67,24.36,21.36,19.13
PICHIT AGROMET.,16.438,100.293,1981,2010,Mean Dry-bulb Temperature,24.156,26.779,28.723,30.263,29.24,28.99,28.32,28.05,27.99,27.69,26.09,24.44
PICHIT AGROMET.,16.438,100.293,1981,2010,Mean Relative Humidity,76.727,75.55,72.085,70.108,77.22,79.18,82.01,83.55,84.69,84.37,78.36,78.07
PICHIT AGROMET.,16.438,100.293,1981,2010,Total Rainfall,7.745,13.856,17.467,57.345,165.55,168.01,154.95,232.94,314.18,128.38,21.06,7.67
MAHASARAKHAM,16.247,103.068,1981,2010,Mean Station Pressure,998.323,996.763,994.661,995.762,995.47,997.01,997.12,997.44,993.43,995.69,995.32,999.3
MAHASARAKHAM,16.247,103.068,1981,2010,Mean MSL Pressure,1013.583,1011.936,1009.731,1008.029,1006.78,1005.64,1005.38,1005.68,1007.59,1010.71,1012.9,1014.45
MAHASARAKHAM,16.247,103.068,1981,2010,Mean Maximum Temperature,31.419,33.656,35.733,36.847,35.24,34.22,33.64,33,32.59,32.23,31.63,30.48
MAHASARAKHAM,16.247,103.068,1981,2010,Mean Minimum Temperature,16.746,19.73,22.544,24.721,24.87,24.92,24.57,24.3,23.83,22.7,19.88,16.74
MAHASARAKHAM,16.247,103.068,1981,2010,Mean Dry-bulb Temperature,23.742,25.849,28.414,30.11,29.3,29.05,28.56,28.04,27.69,27.1,25.34,23.5
MAHASARAKHAM,16.247,103.068,1981,2010,Mean Relative Humidity,70.087,67.075,65.612,67.599,75.73,77.63,78.6,81.57,83.67,79.47,72.72,70.11
MAHASARAKHAM,16.247,103.068,1981,2010,Total Rainfall,3.454,14.954,51.81,89.03,161.54,177.76,159.97,231.86,240.57,111.37,18.13,3.07
KALASIN,16.333,103.588,1981,2010,Mean Station Pressure,991.114,987.841,982.616,983.44,983.44,985.65,987.4,988.11,981.39,987.14,988.13,990.92
KALASIN,16.333,103.588,1981,2010,Mean MSL Pressure,1013.06,1011.482,1009.006,1007.421,1006.04,1005,1004.8,1005.09,1006.77,1009.48,1011.85,1013.39
KALASIN,16.333,103.588,1981,2010,Mean Maximum Temperature,30.433,32.551,34.575,35.684,34.13,33.21,32.48,31.78,31.53,31.63,30.61,29.4
KALASIN,16.333,103.588,1981,2010,Mean Minimum Temperature,17.314,19.753,22.358,24.327,24.75,25.09,24.92,24.66,24.28,22.96,19.73,17.2
KALASIN,16.333,103.588,1981,2010,Mean Dry-bulb Temperature,24.135,26.123,28.672,30.105,29.48,29.26,28.76,28.21,27.86,27.46,25.56,23.91
KALASIN,16.333,103.588,1981,2010,Mean Relative Humidity,65.784,65.158,64.542,68.502,74.97,77.64,79.51,82.88,83.12,77.37,69.68,66.32
KALASIN,16.333,103.588,1981,2010,Total Rainfall,3.381,13.394,47.133,80.26,190.05,232.84,238.02,266.5,221.79,90.33,21.11,2.28
NAKHON SAWAN,15.672,100.132,1981,2010,Mean Station Pressure,1008.684,1006.942,1004.988,1004.189,1002.44,1001.37,1001.78,1002.97,1003.46,1006.15,1008.2,1009.73
NAKHON SAWAN,15.672,100.132,1981,2010,Mean MSL Pressure,1012.764,1010.916,1009.22,1007.716,1006.52,1005.7,1005.8,1005.98,1007.73,1010.14,1012.26,1013.83
NAKHON SAWAN,15.672,100.132,1981,2010,Mean Maximum Temperature,32.898,35.187,36.97,38.056,35.93,34.81,34.08,33.57,33.06,32.55,32.06,31.36
NAKHON SAWAN,15.672,100.132,1981,2010,Mean Minimum Temperature,19.287,22.243,24.683,26.1,25.73,25.44,25.08,24.85,24.47,24.02,21.84,18.79
NAKHON SAWAN,15.672,100.132,1981,2010,Mean Dry-bulb Temperature,25.494,28.121,30.157,31.364,30.02,29.36,28.84,28.43,28.02,27.7,26.49,24.6
NAKHON SAWAN,15.672,100.132,1981,2010,Mean Relative Humidity,65.561,62.487,61.563,63.786,72.53,74.25,76.09,78.66,82.9,81.87,75.5,69.15
NAKHON SAWAN,15.672,100.132,1981,2010,Total Rainfall,4.274,11.887,33.071,63.723,150.66,137.27,148,178.3,237.03,153.4,27.38,4.59
TAKFA AGROMET.,15.349,100.53,1981,2010,Mean Station Pressure,1002.99,1001.133,999.503,998.418,996.95,996.37,996.42,996.38,997.64,999.8,1001.83,1002.25
TAKFA AGROMET.,15.349,100.53,1981,2010,Mean MSL Pressure,1013.31,1011.354,1009.65,1008.528,1007.09,1006.51,1006.59,1006.56,1007.83,1010.02,1012.11,1012.58
TAKFA AGROMET.,15.349,100.53,1981,2010,Mean Maximum Temperature,32.182,34.381,36.102,36.781,34.65,34.3,33.1,32.95,32.69,32.11,31.81,31.74
TAKFA AGROMET.,15.349,100.53,1981,2010,Mean Minimum Temperature,20.206,22.922,24.901,25.737,25.55,25.27,24.84,24.55,24.51,24.13,21.85,20.75
TAKFA AGROMET.,15.349,100.53,1981,2010,Mean Dry-bulb Temperature,25.827,28.071,29.786,30.514,29.2,29.03,28.23,28,27.75,27.52,26.54,25.95
